voivodeship,name,latitude,longitude
dolnośląskie,Albertów,50.59361,16.77889
dolnośląskie,Aleksandrowice,51.44278,16.78667
dolnośląskie,Aleksandrówka,51.59972,16.45167
dolnośląskie,Andryszów,51.33472,15.41694
dolnośląskie,Andrzejówka,50.685,16.27833
dolnośląskie,Antoniów,50.89722,15.50139
dolnośląskie,Antonówka,50.80472,16.01333
dolnośląskie,Augustów,50.9975,15.33556
dolnośląskie,Babin,51.15194,16.13167
dolnośląskie,Bacówka,50.83333,15.95194
dolnośląskie,Bagieniec,50.88861,16.48556
dolnośląskie,Bagno,51.33833,16.81972
dolnośląskie,Baldwinowice,50.63528,16.89417
dolnośląskie,Baranowice,51.045,16.86944
dolnośląskie,Baranów,50.99472,15.18972
dolnośląskie,Barcie,50.96306,15.30972
dolnośląskie,Barcinek,50.94056,15.59583
dolnośląskie,Barcinek Drugi,50.94278,15.61222
dolnośląskie,Bardo,50.50639,16.74056
dolnośląskie,Barkowo,51.47667,16.79667
dolnośląskie,Barkówko,51.47361,16.81889
dolnośląskie,Barszów,51.52639,16.19278
dolnośląskie,Bartków,51.31472,17.34278
dolnośląskie,Bartnica,50.63639,16.39333
dolnośląskie,Bartniki,51.56056,17.54917
dolnośląskie,Bartodzieje,51.68056,16.32639
dolnośląskie,Bartoszewice,51.10361,17.11444
dolnośląskie,Bartoszowa,50.8875,16.97278
dolnośląskie,Bartoszów,51.18694,16.21361
dolnośląskie,Bartoszówek,51.00361,16.38944
dolnośląskie,Bartoszówka,51.00444,15.36389
dolnośląskie,Barycz,51.09778,16.25333
dolnośląskie,Baszyn,51.43583,16.61889
dolnośląskie,Batorowo,50.44833,16.42111
dolnośląskie,Batorów,50.43917,16.42528
dolnośląskie,Baworowa,51.02889,15.26361
dolnośląskie,Bemowo,50.5275,16.48278
dolnośląskie,Berlinek,51.11611,15.53167
dolnośląskie,Betlejem,50.73889,16.04389
dolnośląskie,Bełcz Górny,51.60917,16.64667
dolnośląskie,Bełcz Mały,51.57833,16.65333
dolnośląskie,Bełcz Wielki,51.61611,16.36306
dolnośląskie,Bełczyna,51.04333,15.74639
dolnośląskie,Bełdów,51.21833,16.19444
dolnośląskie,Biadaszka,51.61556,17.36806
dolnośląskie,Biała,50.88472,16.66444
dolnośląskie,Biała Dolina,50.83667,15.50556
dolnośląskie,Biała Góra,50.43,16.84944
dolnośląskie,Biała Woda,50.26806,16.78417
dolnośląskie,Białawy,51.47306,16.71528
dolnośląskie,Białawy Małe,51.47889,16.71556
dolnośląskie,Białawy Wielkie,51.47667,16.75222
dolnośląskie,Białe Błoto,51.33194,17.35417
dolnośląskie,Białka,51.19778,16.11806
dolnośląskie,Białków,51.21417,16.765
dolnośląskie,Białobrzezie,50.79944,16.90056
dolnośląskie,Białogórze,51.1525,15.12722
dolnośląskie,Białopole,50.88389,14.87972
dolnośląskie,Białołęka,51.64722,16.21333
dolnośląskie,Biały Kamień,50.78306,16.25472
dolnośląskie,Biały Kościół,50.72972,17.03917
dolnośląskie,Biechów,51.67472,16.03083
dolnośląskie,Biedaszkowo,51.48472,17.02611
dolnośląskie,Biedaszków Mały,51.40167,17.10083
dolnośląskie,Biedaszków Wielki,51.40028,17.14389
dolnośląskie,Biedrzychowa,51.48028,16.10056
dolnośląskie,Biedrzychowice,51.04056,15.38139
dolnośląskie,Biedrzychowice Górne,50.90389,14.87861
dolnośląskie,Biedrzychów,50.77306,17.11889
dolnośląskie,Biedziędza,50.47361,16.56361
dolnośląskie,Bieganów,50.5625,16.49222
dolnośląskie,Bieganówek,50.53806,16.49917
dolnośląskie,Biegoszów,51.06361,15.90444
dolnośląskie,Bielanka,51.11722,15.69083
dolnośląskie,Bielany,51.08083,16.41417
dolnośląskie,Bielany Wrocławskie,51.03944,16.96889
dolnośląskie,Bielawa,50.68611,16.61611
dolnośląskie,Bielawa Dolna,51.29806,15.04139
dolnośląskie,Bielawa Górna,51.19972,15.19389
dolnośląskie,Bielawki,51.28194,17.71444
dolnośląskie,Bielawy,50.55639,16.51667
dolnośląskie,Bielice,50.26889,17.00361
dolnośląskie,Bieliszów,51.53417,16.48472
dolnośląskie,Bielowice,51.11278,16.11278
dolnośląskie,Bieniec,51.27778,15.39861
dolnośląskie,Bieniowice,51.25889,16.25694
dolnośląskie,Bierdzany,51.09444,17.08194
dolnośląskie,Bierkowice,50.47389,16.60222
dolnośląskie,Bierna,51.03472,15.12083
dolnośląskie,Biernacice,50.56972,17.01444
dolnośląskie,Biernatki,51.14028,16.35556
dolnośląskie,Bierutów,51.12528,17.54417
dolnośląskie,Bierzyce,51.23833,17.18472
dolnośląskie,Bierzyn,50.81472,17.02111
dolnośląskie,Biestrzyków,51.03389,17.0375
dolnośląskie,Bieńkowice,51.05,17.09167
dolnośląskie,Bieńków,51.55778,16.14889
dolnośląskie,Bieśnik,51.18389,16.16
dolnośląskie,Biskupice,50.88833,16.88917
dolnośląskie,Biskupice Oławskie,50.99917,17.51167
dolnośląskie,Biskupice Podgórne,51.03167,16.88222
dolnośląskie,Biskupin,51.32139,15.85028
dolnośląskie,Biskupin-Kolonia,51.33028,15.83167
dolnośląskie,Bledzów,51.02972,16.96583
dolnośląskie,Blizanowice,51.06889,17.15639
dolnośląskie,Blizbórz,51.15111,17.3375
dolnośląskie,Blizocin,51.36778,17.15972
dolnośląskie,Bliż,51.03972,16.86944
dolnośląskie,Bobolice,50.62278,16.85806
dolnośląskie,Boboszów,50.11472,16.69111
dolnośląskie,Bobrowniki,50.39667,16.41361
dolnośląskie,Bobrów,50.87694,15.84889
dolnośląskie,Bogaczów,51.07222,16.06861
dolnośląskie,Bogatynia,50.90389,14.95944
dolnośląskie,Bogdanów,51.00806,16.57417
dolnośląskie,Bogdaszowice,51.08583,16.78583
dolnośląskie,Bogucin,51.70306,16.45917
dolnośląskie,Bogunów,50.94389,17.01889
dolnośląskie,Boguszowice,50.46778,16.55111
dolnośląskie,Boguszyce,50.90389,16.99528
dolnośląskie,Boguszyn,50.46222,16.66472
dolnośląskie,Boguszów,50.75278,16.2025
dolnośląskie,Boguszów-Gorce,50.75611,16.20556
dolnośląskie,Bogusławice,50.99694,17.10278
dolnośląskie,Bojanice,50.77778,16.50306
dolnośląskie,Bolanów,51.35417,16.09056
dolnośląskie,Bolechów,50.89444,17.23
dolnośląskie,Bolesławice,50.89444,16.46389
dolnośląskie,Bolesławiec,51.26306,15.56583
dolnośląskie,Bolesławów,50.25667,16.89222
dolnośląskie,Boleścin,50.81889,16.52944
dolnośląskie,Bolkowice,50.99167,16.19944
dolnośląskie,Bolków,50.92222,16.10083
dolnośląskie,Bolków-Zdrój,50.92583,16.06889
dolnośląskie,Boraszyce Małe,51.46083,16.56583
dolnośląskie,Boraszyce Wielkie,51.45944,16.54694
